"first","last","seasons","games","AB","runs","hits","doubles","triples","HR","RBI","BB","SO","BA","OBP","SP","AP","BR","ABRuns","Runs.Created","SB","CS","Stolen.Base.Runs","Fielding.Average","Fielding.Runs","Primary.Position.Played","Total.Player.Rating","Hall.Fame.Membership"
"HANK","AARON",23,3298,12364,2174,3771,624,98,755,2297,1402,95,0.305,0.377,0.555,156,878,902,2550,143,114,50,0.98,54,"O",84.6,"Select by writers"
"JERRY","ADAIR",13,1165,4019,378,1022,163,19,57,366,208,451,0.254,0.294,0.347,80,-117,-113,376,178,64,30,0.985,-30,"2",-6.6,"not a member"
"SPARKY","ADAMS",13,1424,5557,844,1588,249,48,9,394,453,202,0.286,0.343,0.353,82,-121,-133,679,59,89,NA,0.974,-37,"2",-10.1,"not a member"
"BOBBY","ADAMS",14,1281,4019,591,1082,188,49,37,303,414,408,0.269,0.34,0.368,90,-54,-54,523,304,66,NA,0.955,10,"3",-4.3,"not a member"
"JOE","ADCOCK",17,1959,6606,823,1832,295,35,336,1122,594,27,0.277,0.339,0.485,125,158,198,1033,108,60,NA,0.994,-28,"1",6.3,"not a member"
"TOMMIE","AGEE",12,1129,3912,558,999,170,27,130,433,342,697,0.255,0.321,0.412,108,26,34,507,72,123,44,0.975,19,"O",0,"not a member"
"LUIS","AGUAYO",10,568,1104,142,260,43,10,37,109,94,199,0.236,0.307,0.393,91,-13,-16,133,308,88,2,0.96,-2,"S",0,"not a member"
"EDDIE","AINSMITH",15,1078,3048,299,707,108,54,22,317,263,288,0.232,0.296,0.324,76,-105,-99,317,330,41,NA,0.966,42,"C",1.4,"not a member"
"BERNIE","ALLEN",12,1139,3404,357,815,140,21,73,351,370,390,0.239,0.315,0.357,91,-44,-42,391,33,41,27,0.98,-48,"2",-2.9,"not a member"
"ETHAN","ALLEN",13,1281,4418,623,1325,255,45,47,501,223,283,0.3,0.336,0.41,92,-40,-55,606,328,77,NA,0.981,0,"O",-10.8,"not a member"
"DICK","ALLEN",15,1749,6332,1099,1848,320,79,351,1119,894,128,0.292,0.381,0.534,156,470,469,1290,37,91,74,0.989,-77,"1",33.5,"not a member"
"GENE","ALLEY",11,1195,3927,442,999,140,44,55,342,300,540,0.254,0.312,0.354,88,-65,-61,428,298,66,33,0.97,125,"S",18.2,"not a member"
"BOB","ALLISON",13,1541,5032,811,1281,216,53,256,796,795,21,0.255,0.36,0.471,126,211,192,877,328,89,26,0.975,28,"O",14.9,"not a member"
"BILL","ALMON",15,1236,3330,390,846,138,25,36,296,250,548,0.254,0.307,0.343,83,-95,-74,354,31,100,44,0.956,-1,"S",-2.5,"not a member"
"SANDY","ALOMAR",15,1481,4760,558,1168,126,19,13,282,302,439,0.245,0.291,0.288,68,-213,-192,421,132,122,45,0.977,31,"2",-5.8,"not a member"
"FELIPE","ALOU",17,2082,7339,985,2101,359,49,206,852,423,593,0.286,0.33,0.433,114,101,115,1028,12,107,29,0.979,-41,"O",-4,"not a member"
"JESUS","ALOU",15,1380,4345,448,1216,170,26,32,377,138,242,0.28,0.307,0.353,87,-89,-82,426,189,84,11,0.968,-28,"O",-19,"not a member"
"MATTY","ALOU",15,1667,5789,780,1777,236,50,31,427,311,346,0.307,0.346,0.381,105,30,35,764,61,122,2,0.979,-41,"O",-8.9,"not a member"
"JOEY","AMALFITANO",10,643,1715,248,418,67,19,9,123,185,203,0.244,0.322,0.321,78,-52,-46,180,97,61,3,0.97,2,"2",-2,"not a member"
"RUBEN","AMARO",11,940,2155,211,505,75,13,8,156,227,255,0.234,0.31,0.292,70,-84,-79,200,15,37,26,0.967,24,"S",-1.4,"not a member"
"DAVE","ANDERSON",10,873,2026,244,490,73,12,19,143,206,304,0.242,0.313,0.318,79,-61,-54,204,266,66,22,0.97,54,"S",3.2,"not a member"
"JOHN","ANDERSON",14,1635,6341,870,1841,328,124,49,976,310,488,0.29,0.328,0.404,114,70,95,985,206,NA,NA,1,-14,"O",1.4,"not a member"
"CAP","ANSON",22,2276,9101,1719,2995,528,124,97,1879,952,269,0.329,0.395,0.446,139,562,470,1756,148,NA,NA,0.974,57,"1",36.2,"selected by members"
"LUIS","APARICIO",18,2599,10230,1335,2677,394,92,83,791,736,613,0.262,0.313,0.343,82,-235,-246,1137,270,35,71,0.972,51,"S",12,"Select by writers"
"LUKE","APPLING",20,2422,8856,1319,2749,440,102,45,1116,1302,472,0.31,0.399,0.398,113,196,209,1493,85,12,4,0.948,73,"S",40.9,"Select by writers"
"JIMMY","ARCHER",12,847,2646,246,660,106,33,17,296,124,217,0.249,0.288,0.334,80,-71,-74,266,218,99,NA,0.971,4,"C",-1,"not a member"
"TONY","ARMAS",14,1432,5164,614,1302,204,39,251,815,260,60,0.252,0.29,0.453,103,-12,-6,629,86,54,28,0.981,38,"O",-1.8,"not a member"
"RICHIE","ASHBURN",15,2189,8365,1322,2574,317,109,29,586,1198,502,0.308,0.397,0.382,111,169,182,1386,138,134,NA,0.983,234,"O",30.7,"selected by members"
"ALAN","ASHBY",17,1370,4123,397,1010,183,13,90,513,461,540,0.245,0.323,0.361,93,-53,-35,478,308,4,25,0.986,-41,"C",-2.3,"not a member"
"BOB","ASPROMONTE",13,1324,4369,386,1103,135,26,60,457,333,418,0.252,0.31,0.336,86,-103,-81,441,97,59,30,0.96,-58,"3",-16.9,"not a member"
"JOE","ASTROTH",10,544,1579,163,401,51,10,13,156,177,71,0.254,0.334,0.324,77,-44,-48,175,293,99,13,0.987,-2,"C",-3.1,"not a member"
"RICK","AUERBACH",11,624,1407,167,309,56,5,9,86,127,180,0.22,0.287,0.286,65,-64,-62,119,218,56,13,0.96,-9,"S",-3.1,"not a member"
"JIMMY","AUSTIN",18,1580,5388,661,1328,174,76,13,390,592,335,0.246,0.326,0.314,90,-71,-59,633,145,81,NA,0.933,33,"3",0.2,"not a member"
"EARL","AVERILL",13,1668,6353,1224,2019,401,128,238,1164,774,465,0.318,0.395,0.534,132,334,305,1358,309,96,NA,0.97,-8,"O",18.3,"selected by members"
"BOBBY","AVILA",11,1300,4620,725,1296,185,35,80,467,561,363,0.281,0.36,0.388,104,23,33,666,321,91,29,0.979,-57,"2",4.2,"not a member"
"BENNY","AYALA",10,425,865,114,217,42,1,38,145,71,94,0.251,0.309,0.434,104,1,2,113,107,77,13,0.958,-18,"O",-2,"not a member"
"JOE","AZCUE",11,909,2828,201,712,94,9,50,304,207,315,0.252,0.307,0.344,85,-59,-57,287,268,23,27,0.992,25,"C",0.7,"not a member"
"ED","BAILEY",14,1212,3581,432,915,128,15,155,540,545,507,0.256,0.358,0.429,110,69,58,566,75,48,27,0.986,-54,"C",4.9,"not a member"
"BOB","BAILEY",17,1931,6082,772,1564,234,43,189,773,852,44,0.257,0.35,0.403,111,106,101,852,329,125,18,0.946,-58,"3",-1.8,"not a member"
"BOB","BAILOR",11,955,2937,339,775,107,23,9,222,187,137,0.264,0.312,0.325,76,-92,-95,305,336,73,64,0.98,26,"O",-5.8,"not a member"
"FLOYD","BAKER",13,874,2280,285,573,76,13,1,196,382,138,0.251,0.36,0.297,82,-47,-41,279,135,60,29,0.971,34,"3",-0.9,"not a member"
"FRANK","BAKER",13,1575,5984,887,1838,315,103,96,987,473,161,0.307,0.363,0.442,136,243,246,1020,139,63,NA,0.943,37,"3",33.5,"selected by members"
"DUSTY","BAKER",19,2039,7117,964,1981,320,23,242,1013,762,701,0.278,0.351,0.432,116,153,152,1084,41,114,22,0.985,-51,"O",2.7,"not a member"
"DAVE","BANCROFT",16,1913,7182,1048,2004,320,77,32,591,827,442,0.279,0.355,0.358,98,-1,8,954,49,116,NA,0.944,198,"S",35.4,"selected by members"
"SAL","BANDO",16,2019,7060,982,1790,289,38,242,1039,1031,700,0.254,0.355,0.408,120,165,193,1069,318,84,26,0.959,-104,"3",7.7,"not a member"
"ERNIE","BANKS",19,2528,9421,1305,2583,407,90,512,1636,763,69,0.274,0.333,0.5,122,288,261,1513,269,92,10,0.994,4,"1",25.7,"Select by writers"
"ALAN","BANNISTER",12,972,3007,430,811,143,28,19,288,292,291,0.27,0.337,0.355,90,-32,-35,381,13,74,34,0.983,-133,"O",-14.1,"not a member"
"JESSE","BARFIELD",12,1428,4759,715,1219,216,30,241,716,551,67,0.256,0.338,0.466,116,117,101,749,303,85,29,0.98,114,"O",16.5,"not a member"
"JIMMY","BARRETT",10,866,3306,580,962,83,47,16,255,440,NA,0.291,0.379,0.359,117,90,91,533,47,NA,NA,0.954,44,"O",7.6,"not a member"
"MARTY","BARRETT",10,941,3378,418,938,163,9,18,314,304,188,0.278,0.34,0.347,86,-43,-58,412,286,56,64,0.986,66,"2",4.4,"not a member"
"SHAD","BARRY",10,1100,4014,516,1073,128,47,10,391,279,NA,0.267,0.32,0.33,93,-28,-36,501,45,NA,NA,0.955,-64,"O",-13.9,"not a member"
"JACK","BARRY",11,1223,4146,532,1009,142,38,10,429,396,104,0.243,0.321,0.303,88,-62,-53,476,58,48,NA,0.935,-105,"S",-10.5,"not a member"
"DICK","BARTELL",18,2016,7629,1130,2165,442,71,79,710,748,543,0.284,0.355,0.391,96,13,-36,1107,14,65,NA,0.953,178,"S",27.7,"not a member"
"BOB","BARTON",10,393,1049,54,237,31,3,9,66,87,141,0.226,0.288,0.287,65,-52,-48,85,183,99,22,0.987,53,"C",1.8,"not a member"
"JOHN","BATEMAN",10,1017,3330,250,765,123,18,81,375,172,533,0.23,0.273,0.35,77,-118,-109,289,4,4,22,0.982,-3,"C",-7.4,"not a member"
"EARL","BATTEY",13,1141,3586,393,969,150,17,104,449,421,429,0.27,0.351,0.409,106,50,38,508,33,23,22,0.99,23,"C",10.9,"not a member"
"MATT","BATTS",10,546,1605,163,432,95,11,26,220,143,136,0.269,0.33,0.391,89,-20,-28,208,293,77,2,0.983,-10,"C",-1.8,"not a member"
